unit_id,rule_id,reaction_id
5181,54951,22804
11253,54952,22802
11253,54952,22796
11253,54952,22801
11253,54952,22802
2673,54953,22802
2673,54953,22801
2673,54953,22804
401,54954,22798
401,54954,22795
401,54954,22797
401,54954,22798
401,54954,22800
12645,54955,22798
12645,54955,22802
12645,54955,22796
12645,54955,22801
12645,54955,22802
12645,54955,22804
9875,54956,22798
9875,54956,22802
9875,54956,22795
9875,54956,22796
9875,54956,22798
9875,54956,22800
9875,54956,22801
9875,54956,22802
9875,54956,22804
13943,54957,22798
13943,54957,22802
13943,54957,22796
13943,54957,22797
13943,54957,22801
13943,54957,22802
13943,54957,22804
13943,54958,22798
13943,54958,22798
2227,54959,22795
2227,54959,22796
2227,54959,22800
12645,54960,22797
12645,54960,22797
12645,54960,22801
1570,54961,22797
1570,54961,22801
9573,54962,22798
9573,54962,22799
13898,54963,22803
356,54964,22805
356,54964,22806
356,54964,22813
3362,54965,22813
11701,54966,22805
11484,54967,22806
11484,54967,22807
11484,54967,22811
356,54968,22806
356,54968,22813
13731,54969,22805
13731,54969,22808
13731,54969,22809
13731,54969,22812
11701,54970,22808
13731,54971,22805
13731,54971,22809
13731,54971,22812
3085,54972,22805
3085,54972,22808
3085,54972,22810
3085,54972,22810
3085,54972,22812
11484,54973,22806
11484,54973,22807
11484,54973,22809
11484,54973,22811
13731,54974,22805
13731,54974,22808
13731,54974,22809
13731,54974,22811
13731,54974,22812
6911,54975,22812
10921,54976,22805
10921,54976,22805
10921,54976,22806
10921,54976,22812
10921,54976,22813
13769,54977,22805
13769,54977,22812
6693,54978,22813
10562,54979,22805
10562,54979,22808
10562,54979,22809
9469,54980,22806
9469,54980,22807
9469,54980,22811
5039,54981,22809
5039,54981,22810
3085,54982,22805
3085,54982,22808
3085,54982,22810
3085,54982,22807
3085,54982,22810
3085,54982,22812
11484,54983,22809
11484,54983,22810
3514,54984,22805
3514,54984,22808
3514,54984,22810
3514,54984,22807
3514,54984,22809
3514,54984,22810
3514,54984,22812
12645,54985,22810
12645,54985,22810
1570,54986,22810
11380,54987,22812
5555,54988,22813
9469,54989,22813
9469,54990,22813
9469,54991,22813
12490,54992,22814
86,54993,22814
86,54993,22814
13933,54994,22815
13933,54995,22814
1570,54996,22815
2227,54997,22817
2227,54997,22816
1368,55000,22817
1368,55000,22817
3328,55001,22817
3328,55001,22817
8251,55002,22817
8251,55002,22816
8251,55002,22817
12463,55010,22818
1388,55011,22819
3940,55012,22819
8104,55013,22822
8104,55014,22822
8104,55014,22823
8094,55015,22823
8094,55015,22822
3563,55016,22821
3563,55016,22823
3563,55016,22821
3563,55016,22823
2844,55017,22821
2844,55017,22822
2844,55017,22823
2844,55017,22821
2844,55017,22822
3735,55018,22824
9079,55019,22824
1252,55020,22824
9469,55021,22824
1827,55023,22825
1532,55024,22825
704,55025,22826
13803,55026,22826
13803,55026,22826
5181,55027,22828
2759,55030,22828
487,55040,22827
10256,55042,22827
11380,55043,22829
13904,55044,22829
9469,55045,22829
2759,55046,22828
2759,55046,22829
5430,55047,22830
3175,55048,22830
3008,55049,22830
9469,55050,22830
8993,55051,22831
1644,55052,22832
1644,55052,22833
9469,55055,22831
9469,55056,22832
9469,55056,22833
11101,55057,22832
11101,55057,22833
5480,55059,22832
5480,55059,22833
5480,55060,22832
5480,55060,22833
10973,55061,22834
5430,55062,22834
4309,55063,22835
11701,55064,22835
3328,55065,22835
3328,55065,22836
13290,55066,22835
13290,55066,22836
13290,55066,22835
13290,55066,22836
11701,55067,22836
5643,55068,22835
5643,55068,22835
5643,55068,22836
11701,55069,22836
11751,55070,22840
11751,55070,22839
7572,55071,22840
7572,55071,22839
7572,55071,22840
1827,55073,22837
13942,55074,22838
13942,55074,22840
13942,55074,22838
9573,55075,22838
9573,55075,22840
9573,55075,22837
9573,55075,22838
9451,55076,22839
8201,55077,22844
8201,55077,22853
8201,55077,22857
8201,55077,22862
8201,55077,22863
8201,55077,22864
1415,55078,22842
1415,55078,22842
1415,55078,22844
1415,55078,22857
1415,55078,22863
1415,55078,22864
4297,55079,22842
4297,55079,22844
4297,55079,22853
4297,55079,22857
4297,55079,22862
4297,55079,22863
9264,55080,22856
9264,55080,22845
9264,55080,22856
9264,55080,22857
9264,55080,22863
306,55081,22866
