smarts_hash_id,unit_id,unit
97b2fcd5,3299,P.316.4
98735839,3300,P.133.4
159bbd41,3300,P.133.4
7943a3b2,3301,P.1092.14
e74f7e61,3302,P.2681.24
994c72f4,3303,P.2529.8
665c5352,3303,P.2529.8
cc422218,3304,P.1617.5
3b185a5a,3304,P.1617.5
d7cb15ba,3305,P.1581.7
676c3a9e,3305,P.1581.7
c8b2e727,3305,P.1581.7
9ab616ad,3306,P.228.4
7427bf86,3306,P.228.4
c6dced47,3307,P.705.2
3e6ae7e0,3308,P.235.5
c8248f39,3308,P.235.5
49b7d649,3309,P.3122.27
07091623,3310,P.322.30
a2e423ca,3310,P.322.30
ecc58a28,3311,S.634.28
4dbc86b6,3311,S.634.28
4f6e6698,3312,P.M00060.32
62b10f95,3312,P.M00060.32
f0cfd756,3313,P.M00862.11
8a4d2356,3313,P.M00862.11
75bc1419,3314,S.659048.3
658801b7,3315,cid_5312688
6deadcf5,3316,P.M00104.22
4dbf751b,3316,P.M00104.22
e10f7c8d,3317,P.1533.15
9dbf4800,3317,P.1533.15
db02cccc,3318,S.659107.18
2a9aaf13,3318,S.659107.18
0c9b0ce6,3319,S.838.9
371a2e06,3319,S.838.9
98b2cdeb,3320,S.659061.84
0444014a,3320,S.659061.84
a9cbe6d2,3321,lob-nitro-sugar
4e8ced4f,3322,P.2117.14
c875638a,3323,P.2917.114
13d5da31,3323,P.2917.114
558f46d5,3324,P.M00547.5
651fd5d7,3325,P.M00087.7
5dcad060,3325,P.M00087.7
7bf5c915,3326,P.3058.107
2aa6a465,3326,P.3058.107
6b1c78f3,3326,P.3058.107
cb10c53c,3326,P.3058.107
d4089015,3327,P.232.5
79e512c4,3328,P.M00924.20
84c388ac,3328,P.M00924.20
d0ff4226,3328,P.M00924.20
a6aad8da,3328,P.M00924.20
1115e8ef,3329,P.2096.1
0514e952,3330,P.76.2
38954cf0,3331,C18:1(9)
279a2256,3332,S.1409.13
992b03a7,3332,S.1409.13
6b2ef12b,3333,P.3026.9
b3c6acc8,3334,S.1916.50
e48f0811,3334,S.1916.50
39ad8001,3335,P.M00030.19
347b5874,3336,P.2144.75
4e895f28,3337,P.2917.143
8d3daee3,3338,cid_5311211
b2e8a85e,3339,P.2922.291
31069b81,3339,P.2922.291
72515cc7,3340,P.M00104.1
4b48113b,3340,P.M00104.1
11f18a58,3341,S.659097.89
e753ef3c,3342,S.700.15
2bb66216,3343,P.28.3
8d6105ec,3344,P.3058.198
4cdbb99f,3344,P.3058.198
01297989,3344,P.3058.198
8635df6e,3345,S.1628.9
fae44f32,3345,S.1628.9
5f55d14f,3346,S.659170.8
04aa6992,3347,P.702.1
3f426790,3348,P.1697.2
e50af2fa,3349,P.1942.8
d9dc1228,3349,P.1942.8
4ad56b22,3350,P.M00543.17
bbf0db73,3351,cid_553
f5acf959,3352,P.M00053.10
8db2d722,3352,P.M00053.10
03b713ca,3353,P.1663.9
ea24616f,3354,P.2993.95
293515c7,3354,P.2993.95
1aa7f493,3354,P.2993.95
1b69fdd9,3354,P.2993.95
b0389d29,3355,P.M00101.27
37ff12bc,3355,P.M00101.27
f577a371,3356,P.1718.46
d7888737,3356,P.1718.46
f755b68f,3357,P.875.12
536d6098,3358,S.576.4
65ddd89b,3359,P.1849.25
d2c466b4,3359,P.1849.25
fb50d599,3360,P.M00432.5
113ee7cb,3361,P.2830.11
224dcfe5,3361,P.2830.11
fb6a96f0,3362,Pro
d801b4ab,3362,Pro
9bd37c40,3362,Pro
1bb5ee3f,3362,Pro
f454b8da,3362,Pro
78e88d1c,3362,Pro
122112f0,3362,Pro
e40a60b6,3362,Pro
ce89d7d7,3362,Pro
862c9218,3362,Pro
3fc4829a,3362,Pro
4f2f11c0,3362,Pro
8386dbb1,3362,Pro
dc039ba6,3362,Pro
f5e887e4,3362,Pro
9d9d6f50,3362,Pro
a333cd11,3362,Pro
cd52198f,3362,Pro
d09c7754,3362,Pro
bb2255d3,3362,Pro
c0b5c736,3362,Pro
fa7a91b6,3362,Pro
d3fb5976,3362,Pro
30afdb7d,3362,Pro
6690c82e,3362,Pro
db70a057,3362,Pro
66aa4190,3362,Pro
5b9e9b93,3362,Pro
16148c15,3363,P.1663.4
30682e10,3364,P.1870.3
61feefae,3365,P.793.4
e7f247d5,3365,P.793.4
23e7ec22,3365,P.793.4
912e4ee0,3366,P.1502.27
d5be703d,3366,P.1502.27
088e595d,3367,P.2399.21
f5b98c2a,3367,P.2399.21
9bf4e964,3368,P.65.10
af88fee8,3369,P.1808.9
247fd4b6,3370,P.2336.204
ed760973,3371,P.2336.245
ca53d66d,3372,S.659155.62
9c67ba9e,3373,S.838.30
8bd527db,3373,S.838.30
159517f2,3374,S.659106.13
c5d7dbef,3375,P.625.7
a8982980,3375,P.625.7
a384544f,3376,P.1428.12
bc01929a,3377,P.1164.12
d90d7d04,3378,S.659089.42
110ac620,3378,S.659089.42
673664ae,3379,P.2147.12
8186fc43,3380,P.M00064.9
fbaca941,3381,bMe-Cys
0d2227aa,3381,bMe-Cys
5f0a5f8a,3381,bMe-Cys
899f090c,3381,bMe-Cys
5666916f,3381,bMe-Cys
064899bb,3381,bMe-Cys
190f10ec,3381,bMe-Cys
fad85c8d,3381,bMe-Cys
20106773,3381,bMe-Cys
8c658d13,3381,bMe-Cys
b38f48d4,3381,bMe-Cys
920a02b2,3381,bMe-Cys
1a2c1254,3381,bMe-Cys
44831ede,3381,bMe-Cys
1268277b,3381,bMe-Cys
637f3952,3381,bMe-Cys
07abfa6e,3381,bMe-Cys
3e7f1426,3381,bMe-Cys
ca73629c,3381,bMe-Cys
43a2e634,3381,bMe-Cys
7ebfb49d,3381,bMe-Cys
c7ed4c47,3381,bMe-Cys
1d61c693,3381,bMe-Cys
3b7fd6f8,3381,bMe-Cys
80956a1c,3381,bMe-Cys
c90ea20c,3381,bMe-Cys
7b03dda1,3381,bMe-Cys
3a02af0d,3381,bMe-Cys
bea9b6b6,3381,bMe-Cys
e6a9611c,3381,bMe-Cys
2aa776a7,3381,bMe-Cys
d134383d,3381,bMe-Cys
