metabolite_id,smiles,chemotype
56,CC(=O)NC1C(O)OC(COC2OC(CO)C(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,Aminoglycoside
57,NC1C(OC2C(O)C(O)OC(CO)C2O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,Aminoglycoside
58,OCC1OC(OC2C(O)C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
59,OCC(O)C1OC(OCC(O)C2OC(OC(CO)C3OC(O)C(O)C3O)C(O)C2O)C(O)C1O,Aminoglycoside
60,OCC(O)C1OC(OC(CO)C2OC(OC(CO)C3OC(O)C(O)C3O)C(O)C2O)C(O)C1O,Aminoglycoside
61,NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(OC2(CO)OC(CO)C(O)C2O)C1O,Aminoglycoside
62,OCC1OC(CO)(OCC2(OCC3OC(OC4(COC5(CO)OC(CO)C(O)C5O)OC(CO)C(O)C4O)C(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C1O,TypeIPolyketide
63,CC1=C(CCO)C(C)(C)CCC1,Terpene
64,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,Aminoglycoside
65,CCCCCC(=O)Cc1c(Oc2cc(OC)cc3cc(CCCCC)oc(=O)c23)c(O)cc(O)c1C(=O)O,TypeIIPolyketide
66,Cn1ccc2c3ccccc3nc-2c1CCC(=O)O,Alkaloid
67,O=C(O)CCc1nccc2c1[nH]c1ccccc12,Alkaloid
68,C=C1CCC2CC1C2(C)CC=CC(C)C(=O)O,Terpene
69,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)[S+]([O-])CC(NC(=O)CNC1=O)C(=O)NC(CC(=O)O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2,NonRibosomalPeptide
71,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)\C=C\C1=C(C)CCC(O)C1(C)C,Terpene
72,C=C1CCCC(C)(C)C1/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,Terpene
73,CCC(C)C(NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1)C(=O)N1C(=O)C2CCCN2C(=O)C1C(C)CC,Alkaloid
74,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(O)C(O)C2(C)C)C(C)(C)CCC1,Terpene
75,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCC(O)C2(C)C)C(C)(C)C(O)CC1,Terpene
