reaction_id,enums,reaction_name,reaction_smarts,predecessor_reaction_ids,predecessor_substrate_ids,ignore_substrate_ids,consider_terminal,consider_thiol_removal,avoid_dereplication,consider_module_neighbors
C1-KR-I2,"['PK-cyc', 'C1-KR-I2']",C1-KR-I2,[#16:2]-[#6:1](-[#6H2:3]-[#6:5]-[#8])=[#8:4]>>[#16:2]-[#6:1](-[#6H1:3]=[#6:5])=[#8:4],['KR'],['Mal'],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal']",FALSE,TRUE,TRUE,TRUE
C1-KR-I2-v2,"['PK-cyc', 'C1-KR-I2']",C1-KR-I2,[#16:2]-[#6:1](-[#6H1:3]-[#6:5]-[#8])=[#8:4]>>[#16:2]-[#6:1](-[#6H0:3]=[#6:5])=[#8:4],['KR'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,TRUE,TRUE,TRUE
C1-KS-A3,"['PK-cyc', 'C1-KS-A3']",C1-KS-A3,[#8H0:1]=[#6:2]-[#6:3]-[#6:4](-[#16:5])=[#8:6]>>[#8:6]=[#6:4](-[#6:3](/[#6:7]=[#6:8]\[#6:9])=[#6:2]\[#8H1:1])-[#16:5],['KS'],['Mal'],[],TRUE,TRUE,TRUE,TRUE
C2-KR-A1,"['PK-cyc', 'C2-KR-A1']",C2-KR-A1,[#8:3]-[#6H1:1]-[#6H2:2]-[#6:4](-[#16:5])=[#8:6]>>[#16:5]-[#6:4](/[#6H1:2]=[#6H0:1]\[#8:3]-[#6]=[#8])=[#8:6],['KR'],['Mal'],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal']",FALSE,TRUE,TRUE,TRUE
C2-KR-A1-v2,"['PK-cyc', 'C2-KR-A1']",C2-KR-A1,[#8:3]-[#6H1:1]-[#6H1:2]-[#6:4](-[#16:5])=[#8:6]>>[#16:5]-[#6:4](/[#6H0:2]=[#6H0:1]\[#8:3]-[#6]=[#8])=[#8:6],['KR'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,TRUE,TRUE,TRUE
C2-KS-R2,"['PK-cyc', 'C2-KS-R2']",C2-KS-R2,[#8H0:4]=[#6:3]-[#6H2:1]-[#6:2](-[#16:6])=[#8:5]>>[#8H1:4]/[#6:3]=[#6H1:1]/[#6:2](-[#8:7]-[#6:8])=[#8:5],['KS'],['Mal'],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal']",FALSE,FALSE,TRUE,TRUE
C2-KS-R2-v2,"['PK-cyc', 'C2-KS-R2']",C2-KS-R2,[#8H0:4]=[#6:3]-[#6H1:1]-[#6:2](-[#16:6])=[#8:5]>>[#8H1:4]/[#6:3]=[#6H0:1]/[#6:2](-[#8]-[#6])=[#8:5],['KS'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,FALSE,TRUE,TRUE
C3-KS-A1,"['PK-cyc', 'C3-KS-A1']",C3-KS-A1,[#8:2]=[#6:1]-[#6:3]-[#6:4](-[#16:5])=[#8:6]>>[#8:2]=[#6:1]/[#6:3](-[#6:4](-[#16:5])=[#8:6])=[#6:7]\[#6:8]=[#6:9](\[#8:10])-[#6:11],['KS'],['Mal'],[],FALSE,TRUE,TRUE,TRUE
C3-KR-I2,"['PK-cyc', 'C3-KR-I2']",C3-KR-I2,[#16:2]-[#6:1](-[#6H2:3]-[#6:5]-[#8])=[#8:4]>>[#16:2]-[#6:1](-[#6H1:3]=[#6:5])=[#8:4],['KR'],['Mal'],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal']",FALSE,TRUE,TRUE,TRUE
C3-KR-I2-v2,"['PK-cyc', 'C3-KR-I2']",C3-KR-I2,[#16:2]-[#6:1](-[#6H1:3]-[#6:5]-[#8])=[#8:4]>>[#16:2]-[#6:1](-[#6H0:3]=[#6:5])=[#8:4],['KR'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,TRUE,TRUE,TRUE
C3-KS-R3,"['PK-cyc', 'C3-KS-R3']",C3-KS-R3,[#8H0:1]=[#6:2](-[#6H2:3]-[#6:4]=[#8H0:5])-[#16]>>[#6]/[#6]=[#6:2](-[#8H1:1])\[#6H1:3]=[#6:4]\[#8H1:5],['KS'],['Mal'],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal']",FALSE,FALSE,TRUE,TRUE
C3-KS-R3-v2,"['PK-cyc', 'C3-KS-R3']",C3-KS-R3,[#8H0:1]=[#6:2](-[#6H1:3]-[#6:4]=[#8H0:5])-[#16]>>[#6]/[#6]=[#6:2](-[#8H1:1])\[#6H0:3]=[#6:4]\[#8H1:5],['KS'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,FALSE,TRUE,TRUE
DS-1,"['DH-shift-1', 'DH-shift', 'DH-shift-forward']",DS-1,[#0]/[#6H:1]=[#6:2]/[#6](-[#16])=[#8]>>[#0]-[#6H2:1]/[#6:2]=[#6]/[#0],['DH'],[],[],FALSE,FALSE,TRUE,TRUE
DS-1-b,"['DH-shift-1', 'DH-shift', 'DH-shift-forward']",DS-1,[#0]/[#6H0:1]=[#6:2]/[#6](-[#16])=[#8]>>[#0]-[#6H:1]/[#6:2]=[#6]/[#0],['beta_branch_2'],[],[],FALSE,FALSE,TRUE,TRUE
DS-2,"['DH-shift-2', 'DH-shift', 'DH-shift-forward']",DS-2,[#0]-[#6H2:1]-[#6:2]-[#6:3](-[#16:4])=[#8:5]>>[#16:4]-[#6:3](-[#6:2]/[#6H1:1]=[#6]/[#0])=[#8:5],['ER'],[],[],TRUE,TRUE,FALSE,TRUE
DS-1-PE1,"['DH-shift-1', 'DH-shift', 'DH-shift-forward', 'polyether']",DS-1-PE,[#16]-[#6](-[#6H2:1]-[#6:2](-[#0:4])=[#8H0:3])=[#8]>>[#8H1:3]-[#6:2](-[#8]-[#6])(-[#0:4])/[#6H1:1]=[#6]/[#0],['KS'],['Mal'],[],FALSE,FALSE,TRUE,TRUE
DS-1-PE1-v2,"['DH-shift-1', 'DH-shift', 'DH-shift-forward', 'polyether']",DS-1-PE,[#16]-[#6](-[#6H1:1]-[#6:2](-[#0:4])=[#8H0:3])=[#8]>>[#8H1:3]-[#6:2](-[#8]-[#6])(-[#0:4])/[#6H0:1]=[#6]/[#0],['KS'],[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,FALSE,TRUE,TRUE
DS-3,"['DH-shift-3', 'DH-shift', 'DH-shift-forward']",DS-3,[#0]/[#6:1]=[#6:2]/[#6](-[#16])=[#8]>>[#0]/[#6]=[#6:1]/[#6:2]=[#6]/[#0],['DH'],[],[],FALSE,FALSE,TRUE,TRUE
DS-3-b,"['DH-shift-3', 'DH-shift', 'DH-shift-forward']",DS-3,[#0]/[#6:1](-[#6:3])=[#6:2]/[#6](-[#16])=[#8]>>[#0]/[#6]=[#6:1](-[#6:3])/[#6:2]=[#6]/[#0],['beta_branch_2'],[],[],FALSE,FALSE,TRUE,TRUE
DS-4,"['DH-shift-4', 'DH-shift', 'DH-shift-backward']",DS-4,[#0]-[#6:1]-[#6H2:2]-[#6](-[#16])=[#8]>>[#0]-[#6:1]/[#6H1:2]=[#6]/[#0],"['KS', 'KR', 'ER']",['Mal'],[],FALSE,FALSE,TRUE,TRUE
DS-4-v2,"['DH-shift-4', 'DH-shift', 'DH-shift-backward']",DS-4,[#0]-[#6:1]-[#6H1:2]-[#6](-[#16])=[#8]>>[#0]-[#6:1]/[#6H0:2]=[#6]/[#0],"['KS', 'KR', 'ER']",[],"['epoxMal', 'isoBut', 'ketoMal', 'R-MeMal', '2R-Mal', 'OH-MeOH-Mal', 'Mal']",FALSE,FALSE,TRUE,TRUE
